date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:04	61/61	---M--	200	added ('OK')	text/plain	date:Fri,%2030%20Dec%202022%2015:37:48%20GMT	https://www.biketours.com/robots.txt		(from )
14:22:04	48284/48284	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Mar%202023%2005:12:05%20GMT	https://www.biketours.com/	C:/My%20Web%20Sites/https___www.biketours.com_/www.biketours.com/index.html	(from )
14:22:05	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2022%20Mar%202023%2008:22:05%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/https___www.biketours.com_/www.googletagmanager.com/gtm.05445.delayed	(from https://www.biketours.com/)
14:22:07	3417/3417	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Jan%202018%2001:34:17%20GMT	https://cdn.biketours.com/templates/styles/images/favicon_128x.png	C:/My%20Web%20Sites/https___www.biketours.com_/cdn.biketours.com/templates/styles/images/favicon_128x.png	(from https://www.biketours.com/)
14:22:08	279065/279065	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Mar%202023%2006:23:47%20GMT	https://cdn.biketours.com/assets/pwpc/pwpc-8bde5c0b25e06c6de7385c254abe5563f487e876.css	C:/My%20Web%20Sites/https___www.biketours.com_/cdn.biketours.com/assets/pwpc/pwpc-8bde5c0b25e06c6de7385c254abe5563f487e876.css	(from https://www.biketours.com/)
14:22:09	145600/145600	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2016:06:19%20GMT	https://www.biketours.com/bike-hotel/	C:/My%20Web%20Sites/https___www.biketours.com_/www.biketours.com/bike-hotel/index.html	(from https://www.biketours.com/)
14:22:09	322431/322431	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Mar%202023%2000:02:36%20GMT	https://www.biketours.com/bike-boat/	C:/My%20Web%20Sites/https___www.biketours.com_/www.biketours.com/bike-boat/index.html	(from https://www.biketours.com/)
14:22:10	4908/4908	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Jun%202022%2018:31:21%20GMT	https://cdn.biketours.com/templates/styles/images/logo-loac-sm.png	C:/My%20Web%20Sites/https___www.biketours.com_/cdn.biketours.com/templates/styles/images/logo-loac-sm.png	(from https://www.biketours.com/)
14:22:10	29770/29770	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Mar%202023%2008:22:09%20GMT	https://www.biketours.com/contact/	C:/My%20Web%20Sites/https___www.biketours.com_/www.biketours.com/contact/index.html	(from https://www.biketours.com/)
14:22:11	31400/31400	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2020:38:24%20GMT	https://www.biketours.com/find-my-tour/europe/	C:/My%20Web%20Sites/https___www.biketours.com_/www.biketours.com/find-my-tour/europe/index.html	(from https://www.biketours.com/)
